# GENERATED by build/select_foods.py -- do not edit by hand.
# Family tags derived from each food's USDA description, so that search by
# family works for the bulk-imported foods too. Hand-written entries in
# aliases.txt take precedence over anything here.
# slug | (no alternative names) | tags
bisonribeye||game,meat,red meat
bisonshoulderclod||game,meat,red meat
vealshankforeandhind||beef,meat,red meat
bisonchuckshoulderclod||game,meat,red meat
bisontopround1steak||game,meat,red meat
vealshank||beef,meat,red meat
quailbreast||meat,poultry
turkeyretailpartsdrumstick||meat,poultry
grapefruitpinkandredandwhite||citrus,fruit
grapefruitwhiteflorida||citrus,fruit
grapefruitjuicewhite||citrus,fruit
grapesmuscadine||fruit
groundcherriescapegooseberri||berry,fruit,meat,poultry
guavasstrawberry||berry,fruit
beeftoploinpetiteroastfilet||beef,meat,red meat
beeflointopsirloinpetiteroas||beef,meat,red meat
beefshortlointoploinsteak2||beef,meat,red meat
beefroundbottomroundroast||beef,meat,red meat
beefbottomsirlointritiproast||beef,meat,red meat
beefroundtiproundroast||beef,meat,red meat
sorghumflourrefinedunenriche||cereal,grain
carawaycheese||cheese,dairy
cheshirecheese||cheese,dairy
eggyolkfrozenpasteurized||dairy
parmesancheeseshredded||cheese,dairy
goatcheesesemisofttype||cereal,cheese,dairy,grain
mexicancheesequesoasadero||cheese,dairy
mexicancheesequesochihuahua||cheese,dairy
lowsodiumcheesecheddarorcolb||cheese,dairy
fluidmilk1fatwithoutaddedvit||dairy
withoutaddedvitamindmilk||dairy
salttable||spice
vinegarcider||spice
vanillaextract||spice
seasoningmixchilioriginal||spice
avocadooil||fat,oil
oatoil||cereal,fat,grain,oil
chickenbroilersorfryersleg||cereal,grain,meat,poultry
chickenbroilersorfryersneck||cereal,grain,meat,poultry
chickenbroilersorfryerswing||cereal,grain,meat,poultry
canadagoosebreastmeatonlyski||meat,poultry
chickenroasting||meat,poultry
chickenroastingdarkmeat||meat,poultry
chickenstewinglightmeat||meat,poultry
herringpacific||fish,seafood
ling||fish,seafood
lingcod||fish,seafood
mackerelpacificandjack||fish,seafood
mackerelspanish||fish,seafood
milkfish||dairy,fish,seafood
monkfish||fish,seafood
poutocean||fish,seafood
perch||fish,seafood
pikenorthern||fish,seafood
pompanoflorida||fish,seafood
rockfishpacific||fish,seafood
salmonatlanticwild||fish,seafood
salmonchum||fish,seafood
seatrout||fish,seafood
shadamerican||fish,seafood
shark||fish,seafood
spot||fish,seafood
sturgeon||fish,seafood
tilefish||fish,seafood
turboteuropean||fish,seafood
whitefish||fish,seafood
whiting||fish,seafood
salmoncohofarmed||fish,seafood
pollockalaska||fish,seafood
beansfrench||legume,pulse,seed
beanskidneycaliforniared||legume,meat,offal,organ meat,pulse,seed
beanspink||legume,pulse,seed
beanssmallwhite||legume,pulse,seed
beansyellow||legume,pulse,seed
carobflour||cereal,grain,legume
vealloin||beef,meat,red meat
vealrib||beef,meat,red meat
vealshoulderbladechop||beef,meat,red meat
vealsirloin||beef,meat,red meat
vealcubedforstewlegandshould||beef,meat,red meat
apricotssulfured||fruit
beeflointoploinsteaklipon||beef,meat,red meat
beefchuckclodroast||beef,meat,red meat
beefbrisketflathalf2||beef,meat,red meat
beefchuckarmpotroast||beef,meat,red meat
bassfreshwater||fish,seafood
codatlanticdriedandsalted||fish,seafood
croakeratlantic||fish,seafood
eel||fish,seafood
oysterpacific||fish,mollusc,seafood,shellfish
limabeansthinseededbaby||legume,pulse,seed
mungobeans||legume,pulse,seed
peanutsspanish||legume,nut
peanutflourdefatted||cereal,grain,legume
soyflourfullfat||cereal,grain,legume,pulse
soyflourdefatted||cereal,grain,legume,pulse
yardlongbeans||legume,pulse,seed
lentilspinkorred||legume,pulse
chickpeaflourbesan||cereal,grain,legume,pulse
lamblegwholeshankandsirloin||lamb,meat,red meat
lamblegsirloinhalf||lamb,meat,red meat
lambshoulderwholearmandblade||lamb,meat,red meat
lambshoulderarm||lamb,meat,red meat
lambshoulderblade||lamb,meat,red meat
duckwildbreast||meat,poultry
pheasantbreast||meat,poultry
turkeyretailpartsbreast||meat,poultry
turkeyretailpartswing||meat,poultry
turkeyretailpartsthigh||meat,poultry
figs||fruit
grapefruitpinkandredcaliforn||citrus,fruit
grapefruitwhiteallareas||citrus,fruit
grapefruitwhitecalifornia||citrus,fruit
grapesamericantypeslipskin||fruit
beefribeyepetiteroastfilet||beef,meat,red meat
mackerelking||fish,seafood
mulletstriped||fish,meat,offal,organ meat,seafood
oceanperchatlantic||fish,seafood
pikewalleye||fish,seafood
pollockatlantic||fish,seafood
pollockalaskarawmaycontainad||fish,seafood
roughyorange||citrus,fish,seafood
sablefish||fish,seafood
salmonpink||fish,seafood
scup||fish,seafood
sheepshead||fish,seafood
smeltrainbow||fish,seafood
suckerwhite||fish,seafood
sunfishpumpkinseed||cucurbit,fish,gourd,seafood,seed
trout2||fish,seafood
troutrainbowwild||fish,seafood
tunafreshskipjack||fish,seafood
tunafreshyellowfin||fish,seafood
wolffishatlantic||fish,seafood
yellowtail||fish,seafood
catfishchannelfarmed||fish,seafood
crayfishfarmed||crustacean,fish,seafood,shellfish
oystereasternfarmed||fish,mollusc,seafood,shellfish
troutbrooknewyorkstate||fish,seafood
beansblackturtle||legume,pulse,seed
beanskidneyalltypes||legume,meat,offal,organ meat,pulse,seed
beanskidneyroyalred||legume,meat,offal,organ meat,pulse,seed
cowpeascatjang||legume,pulse,seed
vealshoulderwholearmandblade||beef,meat,red meat
vealshoulderarm||beef,meat,red meat
tomatoesgrape||nightshade
pollock||fish,seafood
eggsgradealargeeggwhole||dairy
wheatflourallpurposeenriched||cereal,grain
wheatflourallpurposeenriched2||cereal,grain
wheatflourallpurposeunenrich||cereal,grain
wholewheatflourunenriched||cereal,grain
breadflourwhiteenrichedunble||cereal,grain
riceflourwhiteunenriched2||cereal,grain
cornflouryellowfinemealenric||cereal,grain
onionsred||allium
onionsyellow||allium
bananasoverripe||fruit
bananasripeandslightlyripe||fruit
soyflourdefatted2||cereal,grain,legume,pulse
soyflourfullfat2||cereal,grain,legume,pulse
riceflourbrown2||cereal,grain
riceflourglutinous||cereal,grain
pastryflourunenrichedunbleac||cereal,grain
onionswhite||allium
applesreddeliciouswithskin2||fruit
appleshoneycrispwithskin||fruit
applesgrannysmithwithskin2||fruit
applesgalawithskin2||fruit
applesfujiwithskin2||fruit
